"id","h_year","age","year_birth","height"
20402,1892,68,1824,57.00
20497,1892,45,1847,57.00
21035,1892,35,1857,57.00
21632,1892,41,1851,57.00
21949,1892,30,1862,57.00
23605,1893,24,1869,57.00
23977,1893,23,1870 ,57.00
24233,1893,36,1857,57.00
24514,1893,23,1870,57.00
24715,1893,19,1874,57.00
24968,1893,31,1862,57.00
25178,1893,37,1856,57.00
25409,1893,44,1849,57.00
25745,1893,22,1871,57.00
25872,1893,33,1860,57.00
25960,1893,33,1860,57.00
26024,1893,38,1855,57.00
26880,1893,75,1818,57.00
27078,1894,29,1865,57.00
27298,1894,43,1851,57.00
27746,1894,63,1831,57.00
28049,1894,70,1824,57.00
28305,1894,69,1825,57.00
28420,1894,24,1870,57.00
28788,1894,50,1844,57.00
28789,1894,44,1850,57.00
29005,1894,20,1874,57.00
29197,1894,45,1849,57.00
29282,1894,33,1861,57.00
29708,1894,35,1859,57.00
29821,1894,50,1844,57.00
29823,1894,38,1856,57.00
29874,1894,40,1854,57.00
30244,1894,65,1829,57.00
30388,1894,31,1863,57.00
30403,1894,41,1853,57.00
30543,1894,34,1860,57.00
30781,1894,38,1856,57.00
31451,1895,52,1843,57.00
31970,1895,21,1874,57.00
33309,1895,20,1875,57.00
33681,1895,50,1845,57.00
33797,1895,32,1863,57.00
33999,1895,27,1868,57.00
34469,1895,20,1875,57.00
34679,1895,25,1870,57.00
34916,1896,50,1846,57.00
35352,1896,45,1851,57.00
35646,1896,62,1834,57.00
36100,1896,30,1866,57.00
36209,1896,33,1863,57.00
36400,1896,21,1875,57.00
36470,1896,33,1863,57.00
36518,1896,23,1873,57.00
37097,1896,18,1878,57.00
37398,1896,46,1850,57.00
37420,1896,72,1824,57.00
37913,1896,45,1851,57.00
38056,1896,31,1865,57.00
38209,1896,31,1865,57.00
38302,1896,35,1861,57.00
38654,1896,22,1874,57.00
38870,1897,37,1860,57.00
38955,1897,28,1869,57.00
39146,1897,48,1849,57.00
39428,1897,32,1865,57.00
39791,1897,48,1849,57.00
40224,1897,66,1831,57.00
40460,1897,46,1851,57.00
40686,1897,33,1864,57.00
41379,1897,48,1849,57.00
41617,1897,40,1857,57.00
41665,1897,34,1863,57.00
41761,1897,30,1867,57.00
41831,1897,48,1849,57.00
41955,1897,37,1860,57.00
42162,1897,23,1874,57.00
42193,1897,47,1850,57.00
42200,1897,22,1875,57.00
42499,1898,23,1875,57.00
42611,1898,37,1861,57.00
42899,1898,74,1824,57.00
42963,1898,24,1874,57.00
43325,1898,44,1854,57.00
43535,1898,20,1878,57.00
43748,1898,19,1879,57.00
43884,1898,31,1867,57.00
45539,1898,41,1857,57.00
45759,1898,30,1868,57.00
45779,1898,23,1875,57.00
46760,1899,50,1849,57.00
47627,1899,41,1858,57.00
48355,1899,35,1864,57.00
48887,1899,51,1848,57.00
49021,1899,27,1872,57.00
51294,1900,49,1851,57.00
51519,1900,43,1857,57.00
51793,1900,30,1870,57.00
53208,1900,26,1874,57.00
55147,1901,24,1877,57.00
55329,1901,27,1874,57.00
55393,1901,28,1873,57.00
55906,1901,50,1851,57.00
55941,1901,43,1858,57.00
56375,1901,42,1859,57.00
56454,1901,61,1840,57.00
57116,1902,40,1862,57.00
57341,1902,23,1879,57.00
57512,1902,49,1853,57.00
58133,1902,40,1862,57.00
58905,1902,48,1854,57.00
59031,1902,34,1868,57.00
59938,1902,18,1884,57.00
60085,1902,56,1846,57.00
60628,1903,27,1876,57.00
60724,1903,50,1853,57.00
61136,1903,38,1865,57.00
61403,1903,30,1873,57.00
61602,1903,40,1863,57.00
62196,1903,48,1855,57.00
63670,1903,70,1833,57.00
63789,1903,46,1857,57.00
64915,1904,23,1881,57.00
65462,1904,46,1858,57.00
65799,1904,30,1874,57.00
66508,1904,35,1869,57.00
66872,1904,48,1856,57.00
67664,1904,45,1859,57.00
68510,1905,43,1862,57.00
69017,1905,42,1863,57.00
69210,1905,51,1854,57.00
69649,1905,27,1878,57.00
70274,1905,27,1878,57.00
72822,1905,54,1851,57.00
73022,1906,44,1862,57.00
73276,1906,46,1860,57.00
73906,1906,35,1871,57.00
74559,1906,27,1879,57.00
74644,1906,45,1861,57.00
75093,1906,45,1861,57.00
75298,1906,32,1874,57.00
75319,1906,21,1885,57.00
77014,1906,58,1848,57.00
77495,1906,42,1864,57.00
77510,1907,63,1844,57.00
77912,1907,44,1863,57.00
78224,1907,50,1857,57.00
78296,1907,59,1848,57.00
78782,1907,50,1857,57.00
79991,1907,48,1859,57.00
80651,1907,35,1872,57.00
81284,1907,49,1858,57.00
81819,1907,20,1887,57.00
82613,1908,49,1859,57.00
83325,1908,36,1872,57.00
83327,1908,49,1859,57.00
84755,1908,34,1874,57.00
85239,1908,22,1886,57.00
85539,1908,46,1862,57.00
86031,1908,38,1870,57.00
86148,1908,66,1842,57.00
86261,1908,46,1862,57.00
86510,1908,19,1889,57.00
86620,1908,30,1878,57.00
86669,1908,31,1877,57.00
86806,1908,33,1875,57.00
87552,1909,44,1865,57.00
87679,1909,29,1880,57.00
90502,1909,60,1849,57.00
91398,1909,30,1879,57.00
91909,1909,30,1879,57.00
92023,1909,46,1863,57.00
93062,1910,40,1870,57.00
93654,1910,62,1848,57.00
93655,1910,40,1870,57.00
94469,1910,26,1884,57.00
94470,1910,28,1882,57.00
96200,1910,21,1889,57.00
97705,1910,33,1877,57.00
99353,1911,66,1845,57.00
99526,1911,39,1872,57.00
99950,1911,39,1872,57.00
101807,1911,31,1880,57.00
102677,1911,69,1842,57.00
103234,1912,48,1864,57.00
106444,1912,51,1861,57.00
107757,1912,29,1883,57.00
108782,1913,72,1841,57.00
109265,1913,29,1884,57.00
109281,1913,39,1874,57.00
109347,1913,41,1872,57.00
109927,1913,67,1846,57.00
110286,1913,60,1853,57.00
111046,1913,65,1848,57.00
111217,1913,51,1862,57.00
111826,1913,28,1885,57.00
112363,1913,33,1880,57.00
112495,1914,30,1884,57.00
113264,1914,41,1873,57.00
115124,1914,66,1848,57.00
115884,1914,30,1884,57.00
116505,1914,22,1892,57.00
117269,1915,41,1874,57.00
117353,1915,45,1870,57.00
117816,1915,52,1863,57.00
118216,1915,31,1884,57.00
119191,1915,53,1862,57.00
119790,1916,62,1854,57.00
119991,1916,31,1885,57.00
120021,1916,51,1865,57.00
120397,1916,38,1878,57.00
121413,1916,46,1870,57.00
122643,1917,61,1856,57.00
122710,1917,64,1853,57.00
122805,1917,30,1887,57.00
123201,1918,38,1880,57.00
123912,1918,33,1885,57.00
123945,1918,33,1885,57.00
124089,1918,21,1897,57.00
124572,1919,39,1880,57.00
124625,1919,23,1896,57.00
124771,1919,32,1887,57.00
125105,1919,39,1880,57.00
125410,1919,24,1895,57.00
125524,1920,65,1855,57.00
126902,1920,32,1888,57.00
128405,1921,27,1894,57.00
128579,1921,37,1884,57.00
129774,1922,45,1877,57.00
130065,1922,26,1896,57.00
130210,1922,39,1883,57.00
132408,1923,47,1876,57.00
1608,1881,56,1825,57.25
5164,1882,21,1861,57.25
8508,1882,23,1859,57.25
10079,1889,38,1851,57.25
10776,1889,25,1864,57.25
11644,1889,35,1854,57.25
11986,1889,48,1841,57.25
14548,1890,25,1865,57.25
14617,1890,61,1829,57.25
14995,1890,25,1865,57.25
15350,1890,44,1846,57.25
17570,1891,41,1850,57.25
17670,1891,65,1826,57.25
18417,1891,58,1833,57.25
18863,1891,30,1861,57.25
24070,1893,31,1862,57.25
24278,1893,25,1868,57.25
24603,1893,26,1867,57.25
25971,1893,26,1867,57.25
26399,1893,46,1847,57.25
32533,1895,14,1881,57.25
32731,1895,70,1825,57.25
35140,1896,39,1857,57.25
36401,1896,40,1856,57.25
37459,1896,53,1843,57.25
39197,1897,24,1873,57.25
39594,1897,26,1871,57.25
39705,1897,51,1846,57.25
40969,1897,42,1855,57.25
41121,1897,31,1866,57.25
41895,1897,18,1879,57.25
42608,1898,21,1877,57.25
43455,1898,30,1868,57.25
43537,1898,50,1848,57.25
45211,1898,32,1866,57.25
